,longitude,latitude,Postal_Code,Region,Province,Municipality,Price,Price_m2,Type_of_Property,Subtype_of_Property,State_of_the_Building,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Furnished,Open_fire,Terrace,Terrace_Area,Garden,Garden_Area,Number_of_Facades,Swimming_Pool,Disabled_Access,Lift
0,4.376134025032607,51.248447820724365,2000,2,8,Antwerpen,895000,3129,1,DUPLEX,0,3,286,1,0,0,1,30,0,0,2,0,0,0
1,4.361370487792108,50.78987082854528,1180,0,0,Uccle,685000,5393,1,PENTHOUSE,2,2,127,0,0,0,1,55,0,0,4,0,0,1
3,3.7083253028608065,51.00344710907644,9052,2,9,Gent,429210,4292,1,APARTMENT,0,2,100,1,0,0,1,12,0,0,3,0,0,1
5,4.047007532896995,50.941780843882924,9300,2,9,Aalst,359000,197,0,HOUSE,5,3,122,0,0,0,1,30,1,1700,2,0,0,0
7,3.720262345300755,51.053260703972086,9000,2,9,Gent,560000,3684,0,HOUSE,6,4,152,0,0,0,1,23,0,0,2,0,0,1
8,4.156645019474472,51.16368187628335,9100,2,9,Sint-Niklaas,395000,3464,1,APARTMENT,0,3,114,0,0,0,1,9,0,0,2,0,0,1
9,4.408236007087518,50.87001921742844,1140,0,0,Evere,389000,4523,1,APARTMENT,5,2,86,1,1,0,1,8,0,0,2,0,1,1
10,3.8707194000984635,51.00236028375542,9230,2,9,Wetteren,342000,1988,1,DUPLEX,5,2,172,1,0,0,1,11,0,0,2,0,0,0
11,3.7075201896052277,51.12040642924183,9940,2,9,Evergem,350000,3723,1,APARTMENT,5,2,94,0,0,0,1,13,0,0,2,0,0,1
12,4.854539162275639,50.457759547420494,5000,1,1,Namur,219000,2920,1,APARTMENT,6,2,75,0,0,0,1,5,0,0,2,0,0,1
13,4.443103143199102,50.83109966996703,1150,0,0,Woluwe-Saint-Pierre,655000,3852,1,APARTMENT,6,3,170,1,0,0,1,22,0,0,2,0,0,1
16,3.2071828570336303,51.232646001171425,8000,2,10,Brugge,295000,3277,0,HOUSE,6,2,90,0,0,0,1,13,0,0,2,0,0,0
18,2.920364240174513,51.204054302137884,8400,2,10,Oostende,222000,3126,1,APARTMENT,6,2,71,0,0,0,1,7,0,0,2,0,0,0
21,3.6075931433164605,50.749709459509745,9600,2,9,Renaix,315000,611,0,HOUSE,6,3,195,0,0,0,1,20,1,320,2,0,0,0
24,4.43799132057269,50.81019872509648,1160,0,0,Auderghem,495000,5265,1,APARTMENT,5,2,94,1,0,0,1,24,0,0,2,0,1,1
25,5.430129978484226,50.593410925357574,4400,1,7,Flémalle,329000,1687,0,HOUSE,0,5,195,0,0,0,1,18,0,0,4,0,0,0
27,4.443103143199102,50.83109966996703,1150,0,0,Woluwe-Saint-Pierre,280000,3294,1,APARTMENT,3,2,85,0,0,0,1,3,0,0,2,0,0,1
28,4.431541527426499,50.84789153612173,1200,0,0,Woluwe-Saint-Lambert,375000,3289,1,DUPLEX,3,3,114,0,0,0,1,9,0,0,2,0,0,0
29,4.691098755030863,50.85734711667344,3001,2,6,Leuven,550000,1361,0,HOUSE,3,4,204,0,0,0,1,8,1,200,2,0,0,0
30,4.471344481505892,50.845386982127444,1950,2,6,Kraainem,895000,913,0,HOUSE,6,6,280,0,0,0,1,50,1,700,3,0,0,0
31,4.344697581912635,50.829476307319766,1060,0,0,Saint-Gilles,695000,2171,0,HOUSE,3,4,255,0,0,0,1,15,1,65,2,0,0,0
32,5.42914187160935,50.64214218719312,4460,1,7,Grâce-Hollogne,285000,1075,0,HOUSE,2,3,105,0,0,0,1,40,1,160,2,0,0,0
33,4.46823712928013,51.215898155997046,2100,2,8,Antwerpen,154000,2200,1,APARTMENT,5,2,70,0,0,0,1,4,0,0,2,0,0,0
35,4.377065860435231,50.822325604082295,1050,0,0,Ixelles,329000,4112,1,APARTMENT,5,2,80,1,0,0,1,2,0,0,2,0,0,0
